Timestamp,Spotter,To_Station,Frequency_MHz
2026-03-28T22:53:55.384983+00:00,KI5UWK,PT5J,28436.2
2026-03-28T22:53:58.540591+00:00,S53F,SQ7CL,1894.0
2026-03-28T22:54:01.477648+00:00,NR0Q,KC7ILX,21317.0
2026-03-28T22:54:06.121022+00:00,YO4NF,II9P,7085.3
2026-03-28T22:54:06.887846+00:00,OL7K,DA2X,3688.1
2026-03-28T22:54:10.300100+00:00,EA1FW,CF2Z,14136.0
2026-03-28T22:54:10.513179+00:00,CE4JVU,CW4C,21242.0
2026-03-28T22:54:11.474468+00:00,AC5XK-1,OM8A,7173.5
2026-03-28T22:54:13.880180+00:00,I2WIJ,CN3A,14311.1
2026-03-28T22:54:15.651371+00:00,N4XL,CX1AR,28583.0
2026-03-28T22:54:16.673803+00:00,W9KEY,NR7DX,21299.0
2026-03-28T22:54:36.833702+00:00,F1FCA,YM4KU,7156.0
2026-03-28T22:54:37.828714+00:00,W6MX,NN3W,14278.5
2026-03-28T22:54:47.302841+00:00,W7XE-11,HI3LT,28410.9
2026-03-28T22:54:48.879077+00:00,KE6QEY,CN3A,21295.0
2026-03-28T22:54:49.389905+00:00,S53F,UA7K,1888.8
2026-03-28T22:54:53.912677+00:00,WM3PEN,KP2M,28580.1
2026-03-28T22:55:10.549008+00:00,K6JO,VJ2X,28451.9
2026-03-28T22:55:10.791773+00:00,JA4DNC-7,T31TTT,21090.0
2026-03-28T22:55:11.746040+00:00,N4WW,PJ8AA,21345.5
2026-03-28T22:55:15.287722+00:00,AJ4EN,CY0S,24911.0
2026-03-28T22:55:17.525309+00:00,PE1EWR,IP0A,7131.0
2026-03-28T22:55:21.380562+00:00,N3KN,PT1M,14176.7
2026-03-28T22:55:24.735794+00:00,BH6IE,YB1DX,14200.0
2026-03-28T22:55:29.347517+00:00,N4CF,9A73P,7165.6
2026-03-28T22:55:31.820398+00:00,K5PAR,WX3B,7132.5
2026-03-28T22:55:34.087122+00:00,AF0F,WH7U,21429.0
2026-03-28T22:55:38.660079+00:00,S53F,SP8R,1883.8
2026-03-28T22:55:47.270835+00:00,VA3UMM,PP2DX,14223.0
2026-03-28T22:55:50.620608+00:00,W0XM,PT1M,28315.1
2026-03-28T22:55:54.953854+00:00,OL7K,DL1SLB,3747.0
2026-03-28T22:55:58.446784+00:00,VE9VIC,W4CI,14029.0
2026-03-28T22:56:00.032112+00:00,K0CN,KP2M,28580.2
2026-03-28T22:56:01.451240+00:00,CT2IQK,DL3ALI,3673.6
2026-03-28T22:56:04.250628+00:00,S53F,OK1K,1876.9
2026-03-28T22:56:05.595661+00:00,KD9GMP,CN3A,21295.0
2026-03-28T22:56:07.324690+00:00,NH7T,CW2C,21206.0
2026-03-28T22:56:07.837415+00:00,NQ9N,DU3LA,21318.5
2026-03-28T22:56:16.312026+00:00,FM5DN,TM5C,14330.0
2026-03-28T22:56:17.116758+00:00,K9CT,NN3W,14278.7
2026-03-28T22:56:18.524269+00:00,LU1EEP,W5DJV,14080.0
2026-03-28T22:56:19.600216+00:00,W7XE-11,PY2FZ,28418.9
2026-03-28T22:56:19.777212+00:00,S53F,DR1A,1872.0
2026-03-28T22:56:22.515477+00:00,IT9EQO,TY5FR,14179.0
2026-03-28T22:56:32.248301+00:00,PE1EWR,TM9R,7136.2
2026-03-28T22:56:36.336111+00:00,K0CN,LP1H,28590.0
2026-03-28T22:56:37.411034+00:00,N3KN,HI8R,14187.0
2026-03-28T22:56:38.359033+00:00,KX7M,WC6H,28423.0
2026-03-28T22:56:44.128173+00:00,N8WCP,CE2WK,28420.0
2026-03-28T22:56:53.602212+00:00,F1FCA,HA3DX,7166.5
2026-03-28T22:56:54.447854+00:00,DO4RWE,OR5T,3737.5
2026-03-28T22:56:58.550660+00:00,E76WO,DL7ON,3681.7
2026-03-28T22:57:00.925452+00:00,N4CF,HA5JI,7163.5
2026-03-28T22:57:02.173856+00:00,WA3AER,CY0S,21351.3
2026-03-28T22:57:09.039166+00:00,MM0KLQ,C4E,14252.0
2026-03-28T22:57:11.343056+00:00,CT2IQK,OK3D,3694.0
2026-03-28T22:57:17.954156+00:00,N3KN,S58N,14191.4
2026-03-28T22:57:27.185166+00:00,BH4HKZ,KL5DX,21392.0
